POLICY_ID,CUSTOMER_ID,POLICY_TYPE,STATUS,EFFECTIVE_DATE,EXPIRATION_DATE,ANNUAL_PREMIUM,SUM_INSURED,DEDUCTIBLE,RISK_CATEGORY,UNDERWRITING_CLASS,AGENT_ID,BRANCH_CODE
P0000208,C0000075,HOME,ACTIVE,13JUN2020,13JUN2021,7144.16,446500.00,5000.00,PREF,UW2,AG0055,BR021
P0000209,C0000088,TL,ACTIVE,24AUG2021,22AUG2031,11387.04,968000.00,0.00,PREF,UW2,AG0020,BR021
P0000210,C0000133,HOME,ACTIVE,08AUG2020,08AUG2023,16481.96,838500.00,5000.00,PREF,UW3,AG0046,BR012
P0000211,C0000069,AUTO,ACTIVE,09OCT2022,09OCT2023,1748.16,56000.00,0.00,SPRM,UW1,AG0027,BR003
P0000212,C0000225,AUTO,ACTIVE,22DEC2022,19DEC2032,637.49,28000.00,5000.00,STD,UW4,AG0053,BR016
P0000213,C0000188,HOME,CANCELLED,07JUL2020,07JUL2023,3275.72,309000.00,500.00,SPRM,UW4,AG0023,BR024
P0000214,C0000094,TL,ACTIVE,16MAY2020,14MAY2030,59730.60,1878000.00,1000.00,STD,UW2,AG0051,BR006
P0000215,C0000120,RENT,CANCELLED,11OCT2020,09OCT2030,840.11,35500.00,5000.00,PREF,UW3,AG0001,BR013
P0000216,C0000062,AUTO,ACTIVE,19FEB2021,19FEB2024,1992.13,86000.00,500.00,STD,UW2,AG0026,BR015
P0000217,C0000132,HOME,ACTIVE,14SEP2021,13SEP2024,20443.07,784000.00,1000.00,PREF,UW1,AG0007,BR025
P0000218,C0000181,TL,ACTIVE,20APR2020,13APR2050,14750.82,1892500.00,5000.00,STD,UW2,AG0049,BR025
P0000219,C0000027,HLTH,ACTIVE,26JUN2022,25JUN2025,7044.10,233000.00,5000.00,STD,UW4,AG0021,BR007
P0000220,C0000114,HLTH,ACTIVE,22NOV2022,21NOV2027,10154.92,444000.00,500.00,STD,UW3,AG0029,BR007
P0000221,C0000168,HOME,ACTIVE,10JUN2020,08JUN2030,21228.80,745500.00,5000.00,SUB,UW2,AG0021,BR003
P0000222,C0000205,WL,ACTIVE,25FEB2023,17FEB2053,20831.98,805500.00,250.00,PREF,UW2,AG0020,BR019
P0000223,C0000048,AUTO,CANCELLED,08MAR2021,07MAR2024,2191.25,55000.00,250.00,STD,UW2,AG0047,BR004
P0000224,C0000137,RENT,LAPSED,15OCT2023,12OCT2033,413.40,40500.00,5000.00,PREF,UW1,AG0052,BR015
P0000225,C0000132,AUTO,ACTIVE,09JAN2023,08JAN2026,2529.89,71500.00,2500.00,DEC,UW1,AG0039,BR004
P0000226,C0000088,AUTO,CANCELLED,10FEB2023,09FEB2026,376.34,45000.00,500.00,STD,UW3,AG0021,BR016
P0000227,C0000020,UL,CANCELLED,24NOV2022,21NOV2032,18456.93,877000.00,500.00,SPRM,UW4,AG0015,BR004
P0000228,C0000178,HLTH,ACTIVE,07MAY2021,14MAR2024,7692.93,482000.00,2500.00,SUB,UW2,AG0036,BR017
P0000229,C0000124,HOME,ACTIVE,18APR2020,18APR2023,7261.50,667500.00,250.00,STD,UW1,AG0013,BR012
P0000230,C0000002,HOME,ACTIVE,08AUG2021,07AUG2026,12746.38,437000.00,5000.00,PREF,UW4,AG0047,BR022
P0000231,C0000088,AUTO,CANCELLED,25OCT2021,25OCT2022,1973.52,56500.00,5000.00,STD,UW4,AG0024,BR001
P0000232,C0000015,HOME,ACTIVE,26JAN2022,26JAN2023,4508.40,548500.00,2500.00,STD,UW3,AG0047,BR002
P0000233,C0000099,RENT,LAPSED,09NOV2021,09NOV2022,715.93,19000.00,250.00,DEC,UW2,AG0044,BR004
P0000234,C0000052,HOME,ACTIVE,14OCT2020,20JUL2023,2140.61,191000.00,5000.00,STD,UW1,AG0028,BR008
P0000235,C0000135,TL,ACTIVE,22APR2023,19APR2033,1726.97,138500.00,500.00,PREF,UW2,AG0059,BR017
P0000236,C0000092,HOME,ACTIVE,12DEC2021,12DEC2022,16808.35,591000.00,2500.00,STD,UW3,AG0005,BR005
P0000237,C0000039,AUTO,LAPSED,10DEC2021,10DEC2022,900.04,54500.00,0.00,STD,UW4,AG0055,BR025
P0000238,C0000160,WL,CANCELLED,12JUL2022,04JUL2052,3060.28,406500.00,0.00,STD,UW2,AG0029,BR002
P0000239,C0000086,AUTO,ACTIVE,13OCT2020,13OCT2021,1158.52,86500.00,2500.00,SPRM,UW2,AG0013,BR021
P0000240,C0000072,HOME,ACTIVE,03APR2024,03APR2025,20824.42,787000.00,5000.00,STD,UW1,AG0026,BR010
P0000241,C0000156,WL,ACTIVE,28APR2020,21APR2050,8012.70,381500.00,2500.00,STD,UW4,AG0014,BR016
P0000242,C0000032,TL,ACTIVE,24NOV2022,16NOV2052,35163.73,1940000.00,500.00,STD,UW3,AG0033,BR020
P0000243,C0000199,TL,CANCELLED,25JAN2023,20JAN2043,23508.05,1502500.00,250.00,PREF,UW1,AG0001,BR025
P0000244,C0000100,RENT,ACTIVE,15MAY2021,15MAY2022,836.86,44500.00,2500.00,STD,UW4,AG0022,BR025
P0000245,C0000070,WL,ACTIVE,21APR2022,18APR2032,5861.57,458500.00,0.00,STD,UW4,AG0018,BR004
P0000246,C0000045,WL,ACTIVE,01SEP2022,29AUG2032,13930.02,600000.00,250.00,STD,UW4,AG0051,BR009
P0000247,C0000229,WL,ACTIVE,30NOV2020,25NOV2040,6520.89,930500.00,500.00,STD,UW1,AG0002,BR013
P0000248,C0000037,UL,LAPSED,16JUL2023,08JUL2053,22674.59,1148500.00,1000.00,PREF,UW2,AG0003,BR001
P0000249,C0000099,AUTO,LAPSED,27SEP2021,26SEP2024,1440.07,89000.00,5000.00,STD,UW3,AG0056,BR025
P0000250,C0000236,HOME,ACTIVE,01AUG2022,01AUG2023,8869.52,445000.00,1000.00,STD,UW1,AG0042,BR001
P0000251,C0000095,HLTH,LAPSED,15NOV2020,15NOV2021,2711.40,277500.00,5000.00,STD,UW2,AG0033,BR011
P0000252,C0000028,TL,ACTIVE,05NOV2022,28OCT2052,37938.84,1438500.00,1000.00,DEC,UW4,AG0034,BR020
P0000253,C0000250,UMBR,ACTIVE,27FEB2024,26FEB2025,51485.93,3154500.00,500.00,STD,UW3,AG0055,BR018
P0000254,C0000124,RENT,ACTIVE,13JUL2023,12JUL2024,996.56,39500.00,2500.00,STD,UW4,AG0015,BR021
P0000255,C0000018,HLTH,ACTIVE,03OCT2020,03OCT2021,3206.31,109000.00,500.00,STD,UW2,AG0016,BR013
P0000256,C0000156,HLTH,ACTIVE,23MAY2021,21JUL2023,2461.33,138000.00,500.00,PREF,UW4,AG0057,BR018
P0000257,C0000035,TL,ACTIVE,09MAR2024,09MAR2025,43638.58,1414500.00,1000.00,STD,UW1,AG0055,BR018
P0000258,C0000062,UMBR,ACTIVE,14DEC2023,12DEC2028,8260.66,1324500.00,250.00,DEC,UW1,AG0008,BR014
P0000259,C0000161,TL,ACTIVE,13MAR2023,10MAR2033,13845.56,682500.00,500.00,PREF,UW2,AG0024,BR025
P0000260,C0000010,HOME,ACTIVE,31AUG2023,30AUG2026,5234.96,247000.00,1000.00,PREF,UW3,AG0036,BR006
P0000261,C0000142,UMBR,EXPIRED,26JUN2020,28JUL2023,28503.92,4533000.00,1000.00,STD,UW3,AG0023,BR024
P0000262,C0000114,HOME,LAPSED,06OCT2020,05OCT2025,6947.93,260000.00,500.00,SUB,UW3,AG0044,BR024
P0000263,C0000086,TL,ACTIVE,18APR2021,13APR2041,40076.08,1939500.00,500.00,STD,UW3,AG0023,BR015
P0000264,C0000144,HOME,ACTIVE,27NOV2023,26NOV2024,1730.59,321500.00,1000.00,SUB,UW1,AG0054,BR025
P0000265,C0000125,AUTO,ACTIVE,24MAY2021,24MAY2022,1017.06,61500.00,500.00,PREF,UW3,AG0040,BR022
P0000266,C0000214,HOME,ACTIVE,24MAY2023,22MAY2028,2656.58,345000.00,0.00,SPRM,UW3,AG0048,BR003
P0000267,C0000097,WL,ACTIVE,15DEC2023,10DEC2043,15206.65,584000.00,5000.00,PREF,UW3,AG0013,BR012
P0000268,C0000016,TL,ACTIVE,10APR2023,05APR2043,8931.97,323000.00,250.00,STD,UW1,AG0028,BR005
P0000269,C0000077,AUTO,ACTIVE,04AUG2020,04AUG2021,1039.65,50000.00,250.00,SUB,UW4,AG0050,BR001
P0000270,C0000189,TL,ACTIVE,09JUL2023,06JUL2033,28420.17,1086500.00,2500.00,PREF,UW4,AG0025,BR009
P0000271,C0000111,AUTO,EXPIRED,18DEC2023,28JUL2023,618.63,77000.00,0.00,DEC,UW2,AG0006,BR014
P0000272,C0000196,AUTO,ACTIVE,07OCT2020,21FEB2024,3153.49,89000.00,0.00,STD,UW1,AG0031,BR024
P0000273,C0000241,AUTO,ACTIVE,26JAN2023,25JAN2028,900.86,26000.00,500.00,PREF,UW4,AG0049,BR015
P0000274,C0000076,AUTO,ACTIVE,17MAY2023,16MAY2024,1589.48,73500.00,0.00,SPRM,UW1,AG0060,BR001
P0000275,C0000197,UMBR,ACTIVE,20NOV2021,20NOV2022,75120.25,2981500.00,500.00,PREF,UW1,AG0008,BR019
P0000276,C0000070,TL,ACTIVE,16FEB2024,15FEB2025,51053.08,1486500.00,1000.00,PREF,UW4,AG0024,BR024
P0000277,C0000019,WL,CANCELLED,11FEB2023,03FEB2053,16161.03,852000.00,1000.00,SUB,UW3,AG0044,BR007
P0000278,C0000207,RENT,LAPSED,16MAR2022,16MAR2023,1047.42,34000.00,500.00,STD,UW3,AG0005,BR020
P0000279,C0000020,WL,ACTIVE,30AUG2022,27FEB2024,6249.05,186000.00,250.00,STD,UW1,AG0005,BR013
P0000280,C0000036,AUTO,EXPIRED,07APR2021,07OCT2023,2668.85,81500.00,500.00,SPRM,UW3,AG0048,BR004
P0000281,C0000129,AUTO,ACTIVE,13OCT2022,10OCT2032,2480.03,65500.00,500.00,SUB,UW1,AG0057,BR020
P0000282,C0000111,AUTO,LAPSED,24OCT2023,23OCT2024,1729.91,48000.00,5000.00,PREF,UW4,AG0056,BR013
P0000283,C0000018,UL,ACTIVE,12MAY2023,09MAY2033,6333.79,205500.00,2500.00,STD,UW2,AG0009,BR009
P0000284,C0000223,AUTO,ACTIVE,05AUG2021,05AUG2022,499.70,29000.00,1000.00,STD,UW3,AG0026,BR019
P0000285,C0000190,AUTO,ACTIVE,23MAR2021,21MAR2031,2638.38,79500.00,5000.00,STD,UW2,AG0010,BR013
P0000286,C0000053,HLTH,ACTIVE,16DEC2020,16DEC2023,7031.35,203500.00,2500.00,STD,UW4,AG0025,BR004
P0000287,C0000105,TL,LAPSED,25DEC2022,17DEC2052,16003.18,558500.00,1000.00,STD,UW1,AG0001,BR021
P0000288,C0000043,UMBR,ACTIVE,15JUL2023,14JUL2026,57248.94,2146000.00,2500.00,STD,UW3,AG0006,BR007
P0000289,C0000228,HOME,ACTIVE,29JUL2020,28JUL2025,13483.47,624000.00,5000.00,SPRM,UW2,AG0045,BR024
P0000290,C0000210,HOME,ACTIVE,03NOV2021,03NOV2022,27393.22,839000.00,1000.00,STD,UW2,AG0040,BR016
P0000291,C0000069,HOME,LAPSED,20AUG2020,20AUG2023,3641.86,435000.00,500.00,STD,UW2,AG0060,BR021
P0000292,C0000186,AUTO,ACTIVE,19AUG2023,16AUG2033,1116.51,78500.00,2500.00,SPRM,UW1,AG0051,BR021
P0000293,C0000177,TL,ACTIVE,13APR2024,13APR2025,27691.40,1285500.00,5000.00,SUB,UW4,AG0059,BR022
P0000294,C0000185,HOME,ACTIVE,02MAY2021,02MAY2022,5994.00,857500.00,250.00,SUB,UW2,AG0032,BR005
P0000295,C0000234,HOME,ACTIVE,09AUG2023,08AUG2024,18701.48,539000.00,500.00,STD,UW4,AG0035,BR015
P0000296,C0000172,AUTO,ACTIVE,11DEC2020,11DEC2021,790.81,59000.00,2500.00,STD,UW4,AG0041,BR013
P0000297,C0000179,AUTO,ACTIVE,10MAR2021,10MAR2022,942.21,84500.00,0.00,SPRM,UW4,AG0023,BR001
P0000298,C0000215,HOME,EXPIRED,29AUG2022,22OCT2023,13734.18,873000.00,5000.00,STD,UW3,AG0032,BR006
P0000299,C0000214,AUTO,ACTIVE,17AUG2023,16AUG2024,720.44,26500.00,1000.00,SUB,UW4,AG0026,BR011
P0000300,C0000170,HOME,ACTIVE,24FEB2021,24FEB2022,26135.66,885500.00,500.00,STD,UW4,AG0045,BR002
P0000301,C0000186,RENT,ACTIVE,31JAN2023,30JAN2026,539.32,21000.00,5000.00,SPRM,UW4,AG0051,BR005
P0000302,C0000118,HOME,ACTIVE,02FEB2023,30JAN2033,12691.53,865500.00,500.00,DEC,UW1,AG0013,BR020
P0000303,C0000162,AUTO,ACTIVE,17DEC2022,16DEC2027,1167.67,91500.00,5000.00,PREF,UW3,AG0018,BR017
P0000304,C0000177,AUTO,ACTIVE,29MAY2021,29MAY2022,1866.79,76500.00,250.00,STD,UW1,AG0012,BR009
P0000305,C0000008,WL,ACTIVE,20NOV2020,15NOV2040,7447.54,766500.00,250.00,SUB,UW1,AG0026,BR006
P0000306,C0000145,UMBR,ACTIVE,11FEB2022,14FEB2024,162169.02,4776500.00,5000.00,STD,UW2,AG0023,BR009
P0000307,C0000103,AUTO,ACTIVE,10MAR2023,09MAR2024,3180.43,91000.00,250.00,SUB,UW3,AG0005,BR013
P0000308,C0000087,UL,CANCELLED,02AUG2023,28JUL2043,4673.10,436000.00,500.00,STD,UW2,AG0007,BR018
P0000309,C0000069,TL,ACTIVE,26MAR2021,19MAR2051,18544.04,1210500.00,500.00,STD,UW4,AG0010,BR016
P0000310,C0000114,HLTH,ACTIVE,31JUL2021,31JUL2022,1943.79,56500.00,2500.00,PREF,UW2,AG0048,BR004
P0000311,C0000117,HLTH,ACTIVE,07DEC2023,06DEC2024,8729.39,289500.00,500.00,PREF,UW2,AG0047,BR016
P0000312,C0000156,HLTH,ACTIVE,05JAN2023,18MAR2024,913.96,137500.00,250.00,STD,UW3,AG0051,BR003
P0000313,C0000002,HLTH,CANCELLED,04MAR2023,01MAR2033,11008.76,485500.00,1000.00,PREF,UW2,AG0040,BR022
P0000314,C0000010,HLTH,ACTIVE,14JAN2022,13JAN2025,7611.04,390000.00,5000.00,SUB,UW3,AG0026,BR025
P0000315,C0000088,HLTH,ACTIVE,09OCT2021,07OCT2031,9760.30,465000.00,2500.00,STD,UW2,AG0034,BR006
P0000316,C0000055,AUTO,ACTIVE,24FEB2022,23FEB2025,2372.60,75000.00,0.00,STD,UW4,AG0037,BR011
P0000317,C0000124,HLTH,ACTIVE,06MAY2021,05MAY2026,1641.78,210500.00,1000.00,PREF,UW2,AG0048,BR005
P0000318,C0000016,AUTO,ACTIVE,28FEB2024,27FEB2025,2602.50,71000.00,1000.00,PREF,UW1,AG0030,BR013
P0000319,C0000050,UL,ACTIVE,02JUN2023,28MAY2043,31195.44,945500.00,250.00,SUB,UW1,AG0054,BR013
P0000320,C0000029,AUTO,ACTIVE,01JUL2020,01JUL2023,1977.39,57500.00,500.00,STD,UW2,AG0003,BR007
